Epoch,Batch_Index,Loss
1,0,5.493403434753418
1,1,4.402887344360352
1,2,4.520667552947998
1,3,3.7762742042541504
1,4,3.9707870483398438
1,5,3.3343517780303955
1,6,3.2803385257720947
1,7,3.345047950744629
1,8,3.226250648498535
1,9,3.1346287727355957
1,10,3.0096957683563232
1,11,3.096893787384033
1,12,3.184284210205078
1,13,3.065018892288208
1,14,3.046074867248535
1,15,2.9996910095214844
1,16,3.097393035888672
1,17,3.170274257659912
1,18,2.898127555847168
1,19,3.0314700603485107
1,20,2.9726157188415527
1,21,3.007868766784668
1,22,2.866173505783081
1,23,3.0809073448181152
1,24,2.970335006713867
1,25,2.8315823078155518
1,26,2.9633636474609375
1,27,2.9888927936553955
1,28,2.8083057403564453
1,29,3.0016026496887207
1,30,2.8249902725219727
1,31,2.926018238067627
1,32,2.9199256896972656
1,33,2.9378910064697266
1,34,3.006753921508789
1,35,2.727407932281494
1,36,2.8392910957336426
1,37,2.949021100997925
1,38,2.760568380355835
1,39,2.794235944747925
1,40,2.8653550148010254
1,41,2.822115898132324
1,42,2.814730644226074
1,43,2.790647506713867
1,44,2.7603602409362793
1,45,2.9002292156219482
1,46,2.717864513397217
1,47,2.7520456314086914
1,48,2.6359853744506836
1,49,2.91915225982666
1,50,2.679551601409912
1,51,2.696934700012207
1,52,2.781226873397827
1,53,2.717879056930542
1,54,2.7987442016601562
1,55,2.4380722045898438
1,56,3.012298583984375
1,57,2.805734395980835
1,58,2.711101531982422
1,59,2.823906898498535
1,60,2.5879952907562256
1,61,3.040126323699951
1,62,2.7862701416015625
1,63,2.7726387977600098
1,64,2.4962635040283203
1,65,2.6712534427642822
1,66,2.538742780685425
1,67,2.4659218788146973
1,68,2.6566598415374756
1,69,2.54750394821167
1,70,2.530529022216797
1,71,2.5606963634490967
1,72,2.67220139503479
1,73,2.9693524837493896
1,74,2.577390432357788
1,75,2.5755066871643066
1,76,2.670644760131836
1,77,2.839569568634033
1,78,2.4886362552642822
1,79,2.5949273109436035
1,80,2.734928607940674
1,81,2.4180333614349365
1,82,2.6815192699432373
1,83,2.383870840072632
1,84,2.7928225994110107
1,85,2.4527769088745117
1,86,2.466111660003662
1,87,2.362377643585205
1,88,2.4811599254608154
1,89,2.586808919906616
1,90,2.259251117706299
1,91,2.516580581665039
1,92,2.341106414794922
1,93,2.583022117614746
1,94,2.6187591552734375
1,95,2.4314448833465576
1,96,2.6405937671661377
1,97,2.3623061180114746
1,98,2.573880195617676
1,99,2.3079347610473633
1,100,2.368805408477783
1,101,2.4809348583221436
1,102,2.445716381072998
1,103,2.152444839477539
1,104,2.3058273792266846
1,105,2.239032745361328
1,106,2.3162317276000977
1,107,2.3395729064941406
1,108,2.3626973628997803
1,109,2.31331467628479
1,110,2.4413745403289795
1,111,2.4529871940612793
1,112,2.3580989837646484
1,113,2.2934212684631348
1,114,2.2839975357055664
1,115,2.078178882598877
1,116,2.2799243927001953
1,117,2.2927041053771973
1,118,2.335517406463623
1,119,2.076978921890259
1,120,2.0935051441192627
1,121,2.197986364364624
1,122,2.044935703277588
1,123,2.2057437896728516
1,124,2.084373950958252
1,125,2.098064422607422
1,126,2.161682367324829
1,127,2.177483558654785
1,128,2.1642186641693115
1,129,2.5161044597625732
1,130,1.987093448638916
1,131,2.0997262001037598
1,132,2.4067187309265137
1,133,2.2977194786071777
1,134,2.225637912750244
1,135,2.1713638305664062
1,136,2.1266226768493652
1,137,2.345043182373047
1,138,2.329315185546875
1,139,2.120826244354248
1,140,2.157111167907715
1,141,2.1119515895843506
1,142,2.34786057472229
1,143,2.192112922668457
1,144,2.0790343284606934
1,145,2.0994863510131836
1,146,1.9921486377716064
1,147,2.0101370811462402
1,148,2.1453118324279785
1,149,2.008172035217285
1,150,2.055311679840088
1,151,2.1341354846954346
1,152,2.0811872482299805
1,153,2.2117645740509033
1,154,2.045518398284912
1,155,2.1570847034454346
2,0,2.151703119277954
2,1,2.0107340812683105
2,2,2.1026558876037598
2,3,2.0299384593963623
2,4,2.0058975219726562
2,5,2.209137201309204
2,6,2.027151346206665
2,7,2.183520555496216
2,8,2.0639634132385254
2,9,2.0828521251678467
2,10,2.0849931240081787
2,11,2.0239999294281006
2,12,2.1404433250427246
2,13,2.1331849098205566
2,14,2.2147750854492188
2,15,1.9455256462097168
2,16,1.954047679901123
2,17,2.101327419281006
2,18,1.884002923965454
2,19,2.210012435913086
2,20,1.9617390632629395
2,21,2.0035181045532227
2,22,1.9744292497634888
2,23,2.0943872928619385
2,24,2.023806095123291
2,25,1.9830290079116821
2,26,2.132248878479004
2,27,1.9035582542419434
2,28,1.9882547855377197
2,29,2.060472011566162
2,30,2.201490640640259
2,31,2.109330177307129
2,32,2.0949792861938477
2,33,1.8545095920562744
2,34,1.987229824066162
2,35,2.2231013774871826
2,36,2.0333871841430664
2,37,1.983189582824707
2,38,2.2256369590759277
2,39,1.919043779373169
2,40,2.1191089153289795
2,41,2.0277388095855713
2,42,2.0905985832214355
2,43,2.0633912086486816
2,44,1.8993500471115112
2,45,1.9887717962265015
2,46,2.1615641117095947
2,47,2.0097098350524902
2,48,2.1295039653778076
2,49,2.055894613265991
2,50,2.04892635345459
2,51,2.0261623859405518
2,52,1.9283199310302734
2,53,1.9914788007736206
2,54,2.1329379081726074
2,55,1.898599624633789
2,56,2.036801815032959
2,57,1.9458355903625488
2,58,1.8553786277770996
2,59,2.008798122406006
2,60,2.109588384628296
2,61,1.8746187686920166
2,62,1.9704238176345825
2,63,2.0172371864318848
2,64,2.0044994354248047
2,65,2.0012474060058594
2,66,1.9842402935028076
2,67,1.8276262283325195
2,68,2.0348026752471924
2,69,2.136319637298584
2,70,1.94744873046875
2,71,1.9692186117172241
2,72,1.8724212646484375
2,73,1.9440910816192627
2,74,2.25212025642395
2,75,2.028593063354492
2,76,2.1355369091033936
2,77,1.8285768032073975
2,78,1.972245693206787
2,79,1.880841612815857
2,80,1.9943115711212158
2,81,1.9242372512817383
2,82,2.106062173843384
2,83,2.32167911529541
2,84,1.8653671741485596
2,85,2.1712331771850586
2,86,2.156456470489502
2,87,2.0138144493103027
2,88,1.9160462617874146
2,89,1.9315121173858643
2,90,1.9423892498016357
2,91,2.0613179206848145
2,92,2.1407554149627686
2,93,2.005758047103882
2,94,1.9349260330200195
2,95,2.059541702270508
2,96,2.2172272205352783
2,97,2.120129108428955
2,98,2.120549440383911
2,99,2.0187666416168213
2,100,1.8089059591293335
2,101,1.9180634021759033
2,102,2.111734390258789
2,103,1.8978571891784668
2,104,1.8209075927734375
2,105,2.052992820739746
2,106,2.292279005050659
2,107,1.979203462600708
2,108,2.0018703937530518
2,109,2.047363519668579
2,110,2.2771549224853516
2,111,2.016386032104492
2,112,2.108635425567627
2,113,1.942222237586975
2,114,1.9031085968017578
2,115,2.0610697269439697
2,116,1.9512330293655396
2,117,1.9925786256790161
2,118,2.2477424144744873
2,119,1.9237912893295288
2,120,1.8863003253936768
2,121,2.0078253746032715
2,122,2.0953664779663086
2,123,1.8486024141311646
2,124,1.8750635385513306
2,125,1.7053461074829102
2,126,1.8869671821594238
2,127,1.8548859357833862
2,128,1.8466393947601318
2,129,1.9387028217315674
2,130,1.898036003112793
2,131,1.8811824321746826
2,132,1.872169017791748
2,133,1.8825955390930176
2,134,2.076354742050171
2,135,1.918837547302246
2,136,1.8723198175430298
2,137,2.0564675331115723
2,138,1.8775708675384521
2,139,1.9666279554367065
2,140,1.8559761047363281
2,141,1.9098520278930664
2,142,2.090836524963379
2,143,1.8818734884262085
2,144,1.9505465030670166
2,145,1.9213018417358398
2,146,1.927259922027588
2,147,1.7913572788238525
2,148,1.715256690979004
2,149,1.83958101272583
2,150,1.8069934844970703
2,151,2.046295404434204
2,152,1.8610243797302246
2,153,1.7499421834945679
2,154,2.0197622776031494
2,155,1.9215130805969238
3,0,1.9176161289215088
3,1,1.9041084051132202
3,2,1.7341227531433105
3,3,2.0358173847198486
3,4,1.8813941478729248
3,5,1.6812360286712646
3,6,1.8001267910003662
3,7,1.711944580078125
3,8,1.6620924472808838
3,9,1.8484824895858765
3,10,1.7487543821334839
3,11,1.7177226543426514
3,12,1.9455305337905884
3,13,1.8155217170715332
3,14,1.8696565628051758
3,15,1.7032232284545898
3,16,1.7968122959136963
