Epoch,Train_Loss,Val_Loss,Val_mIoU,Val_Pixel_Acc,mAcc
1,2.6259206579281735,N/A,N/A,N/A,
2,2.0028345516094794,N/A,N/A,N/A,
3,1.8104133277367322,N/A,N/A,N/A,
4,1.6864144274821649,N/A,N/A,N/A,
5,1.6440482506385217,2.8418701976092895,19.430227279663086,51.45579147338867,33.693138122558594
1,2.6696195227977557,N/A,N/A,N/A,
2,2.019374581483694,N/A,N/A,N/A,
3,1.8012283329780285,N/A,N/A,N/A,
4,1.6984806144848847,N/A,N/A,N/A,
5,1.6387287729825728,2.274756755401839,22.983413696289062,63.79204559326172,37.95608901977539
6,1.633082213310095,N/A,N/A,N/A,
7,1.6066702925241911,N/A,N/A,N/A,
8,1.5782165298095117,N/A,N/A,N/A,
9,1.5532247179593794,N/A,N/A,N/A,
10,1.5097555273618453,2.258150913822117,19.86817741394043,64.57965850830078,23.620885848999023
11,1.4632089245013702,N/A,N/A,N/A,
12,1.4245476829699981,N/A,N/A,N/A,
13,1.3954992920924456,N/A,N/A,N/A,
14,1.3640810320010552,N/A,N/A,N/A,
15,1.3521005228543892,1.8334246980610178,29.62801170349121,74.22505187988281,36.989654541015625
16,1.3335979672578664,N/A,N/A,N/A,
17,1.3123124127204602,N/A,N/A,N/A,
18,1.2980717420578003,N/A,N/A,N/A,
19,1.2770518943285332,N/A,N/A,N/A,
20,1.2568606803050408,1.8063237400197272,31.378868103027344,74.44465637207031,39.5736083984375
21,1.2381975719561944,N/A,N/A,N/A,
22,1.2234313381023896,N/A,N/A,N/A,
23,1.216507342381355,N/A,N/A,N/A,
24,1.2034563299937127,N/A,N/A,N/A,
25,1.1823196090184724,1.8615309409241179,30.381771087646484,73.80846405029297,37.894683837890625
26,1.1847596772206135,N/A,N/A,N/A,
27,1.18128086741154,N/A,N/A,N/A,
28,1.1826021059965477,N/A,N/A,N/A,
29,1.1680559034530933,N/A,N/A,N/A,
30,1.160864641269048,1.8695633696086371,32.367637634277344,73.84954833984375,41.576393127441406
31,1.1491784445750408,N/A,N/A,N/A,
32,1.1471701654104085,N/A,N/A,N/A,
33,1.1278776839757576,N/A,N/A,N/A,
34,1.1160933073514547,N/A,N/A,N/A,
35,1.1201004592271953,1.7318977704688685,36.15264892578125,77.03109741210938,46.55208969116211
36,1.1060870981369264,N/A,N/A,N/A,
37,1.1050184865792592,N/A,N/A,N/A,
38,1.0965042679737775,N/A,N/A,N/A,
39,1.0964552905315008,N/A,N/A,N/A,
40,1.090225257552587,1.6473020813358363,38.74359893798828,78.44213104248047,51.0479736328125
41,1.0864437631307504,N/A,N/A,N/A,
42,0.4099654129300362,0.5529139593466005,37.645164489746094,76.97652435302734,53.02842330932617
43,0.4121450539200734,0.5489276878869356,38.19265365600586,77.78685760498047,52.235530853271484
44,0.4065298992089736,0.5454516846742203,38.41526412963867,77.54366302490234,53.971195220947266
45,0.4068071418083631,0.5447719341783381,38.751399993896484,77.8226318359375,53.405303955078125
46,0.40811527768770856,0.5461251548866728,38.65764236450195,77.56450653076172,53.77458190917969
47,0.4052036496309134,0.5449406451253749,38.75688552856445,77.63156127929688,53.8363151550293
48,0.40350579489500094,0.5465026751383028,38.57759475708008,77.51518249511719,53.579795837402344
49,0.4060935160288444,0.5458556262414846,38.686607360839844,77.55738830566406,53.67771530151367
50,0.4093851326749875,0.5462577823382705,38.66877365112305,77.51986694335938,53.471351623535156
