Epoch,Batch_Index,Loss
1,0,6.103357791900635
1,1,5.7464704513549805
1,2,5.291548728942871
1,3,5.26312255859375
1,4,5.358746528625488
1,5,5.2105183601379395
1,6,5.168389320373535
1,7,4.919088840484619
1,8,4.902859210968018
1,9,4.870244026184082
1,10,4.590362071990967
1,11,4.640808582305908
1,12,4.605838298797607
1,13,4.471287250518799
1,14,4.257673740386963
1,15,4.3269267082214355
1,16,4.394355297088623
1,17,4.613356590270996
1,18,4.211307525634766
1,19,4.529685974121094
1,20,3.8190183639526367
1,21,4.059259414672852
1,22,3.9978623390197754
1,23,4.096184730529785
1,24,4.380492210388184
1,25,4.069234371185303
1,26,4.577486038208008
1,27,4.2122955322265625
1,28,4.162365913391113
1,29,3.9186978340148926
1,30,4.415310859680176
1,31,4.130848407745361
1,32,4.140405654907227
1,33,4.295048713684082
1,34,3.8699514865875244
1,35,3.954059362411499
1,36,3.6735761165618896
1,37,4.184937000274658
1,38,3.878139019012451
1,39,3.9514124393463135
1,40,3.9886422157287598
1,41,3.9257631301879883
1,42,3.728030204772949
1,43,4.080544471740723
1,44,4.073843479156494
1,45,3.952907085418701
1,46,3.7408969402313232
1,47,4.001243591308594
1,48,3.8054873943328857
1,49,4.062445640563965
1,50,4.140164375305176
1,51,3.9220759868621826
1,52,3.9853107929229736
1,53,4.036767482757568
1,54,3.8653907775878906
1,55,3.715952157974243
1,56,3.904845714569092
1,57,3.9946179389953613
1,58,3.4180550575256348
1,59,3.6611082553863525
1,60,3.700420618057251
1,61,3.9553117752075195
1,62,3.5356826782226562
1,63,3.8199377059936523
1,64,3.4327054023742676
1,65,3.523261785507202
1,66,3.9956350326538086
1,67,3.3734889030456543
1,68,3.3756308555603027
1,69,3.658653974533081
1,70,4.010279178619385
1,71,3.6716694831848145
1,72,3.5362582206726074
1,73,3.740349054336548
1,74,3.543447256088257
1,75,3.1239264011383057
1,76,3.449148178100586
1,77,3.446208953857422
1,78,3.8478217124938965
1,79,3.7801566123962402
1,80,3.5680999755859375
1,81,3.5392720699310303
1,82,4.2094035148620605
1,83,3.4251277446746826
1,84,3.4384360313415527
1,85,3.4255597591400146
1,86,3.7118327617645264
1,87,2.9036824703216553
1,88,3.504702091217041
1,89,3.7447986602783203
1,90,3.435748338699341
1,91,3.4711575508117676
1,92,3.5873374938964844
1,93,3.464996576309204
1,94,3.322115659713745
1,95,3.218017339706421
1,96,3.720529794692993
1,97,3.3402090072631836
1,98,3.5488831996917725
1,99,3.7258970737457275
1,100,3.330845832824707
1,101,3.6591248512268066
1,102,3.407944440841675
1,103,3.3306310176849365
1,104,3.1471564769744873
1,105,3.6292648315429688
1,106,3.4546728134155273
1,107,3.293403148651123
1,108,3.445429801940918
1,109,3.6158392429351807
1,110,3.440589189529419
1,111,3.332730293273926
1,112,3.2556910514831543
1,113,3.2890710830688477
1,114,3.264456272125244
1,115,3.0083961486816406
1,116,3.2737889289855957
1,117,3.431206226348877
1,118,3.0171797275543213
1,119,3.652104377746582
1,120,3.10825252532959
1,121,3.834254264831543
1,122,3.04226016998291
1,123,3.4228649139404297
1,124,3.2355589866638184
1,125,3.5938024520874023
1,126,3.5360512733459473
1,127,3.054989814758301
1,128,2.93532657623291
1,129,3.4169766902923584
1,130,3.5792205333709717
1,131,3.1043624877929688
1,132,3.309917449951172
1,133,3.457549571990967
1,134,3.053093433380127
1,135,3.258904457092285
1,136,3.192164421081543
1,137,3.489211320877075
1,138,3.450808525085449
1,139,3.3049659729003906
1,140,3.5914180278778076
1,141,3.461693286895752
1,142,3.405565023422241
1,143,3.330470085144043
1,144,3.3503332138061523
1,145,3.5031795501708984
1,146,2.848562717437744
1,147,3.313373565673828
1,148,3.395219326019287
1,149,3.4260880947113037
1,150,3.3026442527770996
1,151,3.438380718231201
1,152,3.179586172103882
1,153,3.2528817653656006
1,154,3.402191400527954
1,155,3.180931568145752
1,156,3.219681978225708
1,157,3.5261189937591553
1,158,3.464702606201172
1,159,3.2614948749542236
1,160,3.648209571838379
1,161,3.433776617050171
1,162,3.3620214462280273
1,163,3.640658140182495
1,164,3.1219124794006348
1,165,3.228058099746704
1,166,3.478940725326538
1,167,3.446484327316284
1,168,3.1870369911193848
1,169,3.3524017333984375
1,170,3.3535377979278564
1,171,3.225318431854248
1,172,2.7696399688720703
1,173,3.150296211242676
1,174,3.071387767791748
1,175,3.5559191703796387
1,176,3.682201385498047
1,177,3.3447251319885254
1,178,3.39986515045166
1,179,3.135267496109009
1,180,3.356630325317383
1,181,3.406588315963745
1,182,3.0171241760253906
1,183,2.975071668624878
1,184,3.2242448329925537
1,185,2.8891172409057617
1,186,3.20681095123291
1,187,3.3967580795288086
1,188,2.7588906288146973
1,189,3.2730836868286133
1,190,3.196345567703247
1,191,3.5200400352478027
1,192,3.2512550354003906
1,193,3.191328525543213
1,194,3.3778584003448486
1,195,3.271662473678589
1,196,3.250535011291504
1,197,3.133174180984497
1,198,3.3882713317871094
1,199,2.991425037384033
1,200,3.0452709197998047
1,201,3.1366536617279053
1,202,3.0296592712402344
1,203,3.0662238597869873
1,204,3.0528430938720703
1,205,2.9787416458129883
1,206,2.6561832427978516
1,207,2.9787702560424805
2,0,2.713407516479492
2,1,2.857882499694824
2,2,2.957613468170166
2,3,3.127265214920044
2,4,2.7939767837524414
2,5,3.168757438659668
2,6,2.5819506645202637
2,7,2.973421812057495
2,8,2.774327278137207
